iter	RMSE
0	0.01282135116
1	0.01261336615
2	0.01245275596
3	0.01223834393
4	0.01204210218
5	0.01188864773
6	0.01173884146
7	0.01161450685
8	0.01146846581
9	0.01133888991
10	0.01121116348
11	0.01107332459
12	0.01097931144
13	0.01085169919
14	0.01076623518
15	0.01067358339
16	0.01056041505
17	0.01044173915
18	0.01035803716
19	0.01027245857
20	0.01018755585
21	0.01009603916
22	0.01001355357
23	0.009924697316
24	0.009851235903
25	0.009795577772
26	0.009720216421
27	0.009651326788
28	0.009569380318
29	0.009497704255
30	0.009436872533
31	0.009392977102
32	0.009319654194
33	0.009259011153
34	0.009213438092
35	0.009169267601
36	0.00911743834
37	0.009052713641
38	0.009007404763
39	0.008952941021
40	0.008905696915
41	0.008875129317
42	0.008830785439
43	0.008790512618
44	0.008744013533
45	0.008698554025
46	0.008649291127
47	0.008624842001
48	0.008597200682
49	0.00855772879
50	0.008522806756
51	0.008489301057
52	0.008457124262
53	0.008427970295
54	0.008397990354
55	0.008367654983
56	0.008333118569
57	0.008286432984
58	0.008261319828
59	0.00823306343
60	0.008200380348
61	0.008164421237
62	0.008133657881
63	0.008107563347
64	0.008075448474
65	0.008042395571
66	0.008014983508
67	0.007991355205
68	0.007962989841
69	0.007939564339
70	0.007907366529
71	0.007888900513
72	0.007865840721
73	0.007841545595
74	0.007814599398
75	0.007790831099
76	0.007764886407
77	0.007747046275
78	0.007716233143
79	0.007683089433
80	0.007662757291
81	0.007646177888
82	0.007624862651
83	0.007595889011
84	0.007578992196
85	0.007563770137
86	0.007541254398
87	0.007518765325
88	0.00750613562
89	0.007488872668
90	0.007473030442
91	0.00745515614
92	0.007436953423
93	0.007422718661
94	0.007407547371
95	0.00739953689
96	0.007380166442
97	0.007366676344
98	0.007340756034
99	0.007323816589
100	0.007312681418
101	0.007299041564
102	0.007276225457
103	0.007264919682
104	0.007252254041
105	0.007237022333
106	0.007216518617
107	0.007200098025
108	0.007183195456
109	0.007169258925
110	0.007160263517
111	0.007129578058
112	0.007109332933
113	0.007094094385
114	0.007070603845
115	0.007048174534
116	0.00702806701
117	0.007014858223
118	0.006997320942
119	0.006983121264
120	0.006967435216
121	0.006942064466
122	0.006927075523
123	0.006910687878
124	0.006893186905
125	0.006877621052
126	0.006864971414
127	0.006830842965
128	0.006815508611
129	0.006794900554
130	0.006770782099
131	0.006757515751
132	0.006744309735
133	0.006727133597
134	0.006712504606
135	0.006698089354
136	0.006679692088
137	0.006661133762
138	0.006649024289
139	0.006639508099
140	0.006625214725
141	0.00661682257
142	0.006603441347
143	0.00658332924
144	0.006571431683
145	0.006558474451
146	0.006546769642
147	0.006530545074
148	0.006515525427
149	0.006507372825
150	0.006496299758
151	0.006484140057
152	0.006478129132
153	0.006464718658
154	0.006447834199
155	0.006427927636
156	0.006419353203
157	0.006407843428
158	0.006386296051
159	0.006371803316
160	0.006361654112
161	0.006347038004
162	0.006334138272
163	0.006321702944
164	0.006309542064
165	0.006299210127
166	0.006284664799
167	0.006273250706
168	0.006257633777
169	0.006244630256
170	0.006237122434
171	0.006224630539
172	0.00621676385
173	0.006209319343
174	0.006192685585
175	0.00618125182
176	0.006169629179
177	0.006164310394
178	0.006147452955
179	0.006137438642
180	0.006131821346
181	0.006122525506
182	0.006115849293
183	0.006100355254
184	0.006088719
185	0.006078609106
186	0.006064066013
187	0.00605547834
188	0.006045606492
189	0.006030456183
190	0.006011538557
191	0.005999427743
192	0.005985242128
193	0.005976337434
194	0.005967278804
195	0.005953909353
196	0.005943994628
197	0.005933548763
198	0.005924058334
199	0.005911980412
200	0.005900054974
201	0.005890122856
202	0.005880844853
203	0.005870296442
204	0.00586406131
205	0.005847596473
206	0.005840753393
207	0.005831415477
208	0.005822540047
209	0.005807570388
210	0.005798219574
211	0.005788112284
212	0.005780816838
213	0.005762676262
214	0.005751637646
215	0.005741010135
216	0.005734208057
217	0.005726355825
218	0.005716471478
219	0.005707436146
220	0.005698669418
221	0.005692601007
222	0.005682475993
223	0.005675352322
224	0.005669618109
225	0.005660499357
226	0.005649324217
227	0.005640276472
228	0.005629975708
229	0.005616703124
230	0.00560907608
231	0.005600059832
232	0.005592725083
233	0.005587694149
234	0.005579348284
235	0.005573085617
236	0.005568131474
237	0.005558790434
238	0.005547466032
239	0.005539148908
240	0.005527400489
241	0.005518625938
242	0.005504321163
243	0.005494678694
244	0.005483713766
245	0.00547445221
246	0.00546105028
247	0.005449294644
248	0.005439795376
249	0.005433953956
250	0.005428888051
251	0.00542204957
252	0.005415035623
253	0.005403440425
254	0.005393826412
255	0.005388356105
256	0.005382201043
257	0.005375706253
258	0.005371166997
259	0.005361669147
260	0.005350979956
261	0.00534627344
262	0.005339036239
263	0.005333645359
264	0.005328212272
265	0.005324219138
266	0.005312457259
267	0.005307962567
268	0.005301640675
269	0.005295959759
270	0.005289554306
271	0.005280959127
272	0.005269931255
273	0.005262851816
274	0.005258019969
275	0.005249941843
276	0.00524370596
277	0.005239364878
278	0.005232126507
279	0.005221751059
280	0.005214394232
281	0.005209002481
282	0.005202963907
283	0.005194973342
284	0.005190943049
285	0.005186800368
286	0.005175971296
287	0.00516843851
288	0.005163630832
289	0.00515660751
290	0.005151171881
291	0.005147323206
292	0.005138639549
293	0.005134986159
294	0.005129278852
295	0.005123604957
296	0.005118254074
297	0.005113773547
298	0.005104833901
299	0.005095334978
300	0.005089269982
301	0.005082744638
302	0.005074372488
303	0.005071483466
304	0.005063260277
305	0.005053594584
306	0.005048774441
307	0.005040016976
308	0.005033981169
309	0.005027327231
310	0.005020822445
311	0.005011411426
312	0.005007159678
313	0.005003665881
314	0.004997060341
315	0.00499349806
316	0.004987202068
317	0.004982362945
